Feedback ID,Customer ID,Date,Product Type,Price,Product Rating,Shop Branch,Branch Customer Service Rating,Comments
80,180,28/6/2024,Laptop,860,5,Jurong East,5,Great purchase
81,181,1/5/2024,Mouse,17,3,Tampines,3,Works well
82,182,2/5/2024,Keyboard,49,5,Jurong East,5,Excellent service
83,183,3/5/2024,Monitor,212,4,Yishun,2,Good performance
84,184,4/5/2024,Tablet,312,2,Somerset,3,Not happy with the product
85,185,5/5/2024,Laptop,825,5,Jurong East,5,Very satisfied
86,186,6/5/2024,Mouse,15,3,Tampines,3,Adequate
87,187,7/5/2024,Keyboard,45,5,Jurong East,5,Fantastic experience
88,188,8/5/2024,Monitor,200,4,Yishun,2,Average
89,189,9/5/2024,Tablet,300,1,Somerset,2,Poor quality
90,190,10/5/2024,Laptop,800,5,Jurong East,5,Outstanding purchase
91,191,11/5/2024,Mouse,16,4,Yishun,3,Good product
92,192,12/5/2024,Keyboard,42,5,Jurong East,5,Great service
93,193,13/5/2024,Monitor,190,4,Somerset,3,Good value
94,194,14/5/2024,Tablet,280,2,Yishun,2,Disappointed
95,195,15/5/2024,Laptop,750,5,Jurong East,5,Highly recommend
96,196,6/5/2024,Mouse,18,3,Somerset,3,Just okay
97,197,7/5/2024,Keyboard,45,4,Yishun,2,Could be better
98,198,8/5/2024,Monitor,195,3,Tampines,2,Not as expected
99,199,9/5/2024,Tablet,285,2,Somerset,2,Poor performance
100,200,10/5/2024,Laptop,780,5,Jurong East,5,Excellent purchase
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
